"Epaxial_bead_cra_X","Epaxial_bead_cra_Y","Epaxial_bead_cra_Z","Epaxial_bead_mid1_dor_X","Epaxial_bead_mid1_dor_Y","Epaxial_bead_mid1_dor_Z","Epaxial_bead_mid1_ven_X","Epaxial_bead_mid1_ven_Y","Epaxial_bead_mid1_ven_Z","Epaxial_bead_mid2_dor_X","Epaxial_bead_mid2_dor_Y","Epaxial_bead_mid2_dor_Z","Epaxial_bead_mid2_ven_X","Epaxial_bead_mid2_ven_Y","Epaxial_bead_mid2_ven_Z","Epaxial_bead_mid3_dor_X","Epaxial_bead_mid3_dor_Y","Epaxial_bead_mid3_dor_Z","Epaxial_bead_mid3_ven_X","Epaxial_bead_mid3_ven_Y","Epaxial_bead_mid3_ven_Z","HyoidL_bead_cau_X","HyoidL_bead_cau_Y","HyoidL_bead_cau_Z","HyoidL_bead_cra_X","HyoidL_bead_cra_Y","HyoidL_bead_cra_Z","Hypaxial_bead_cau_X","Hypaxial_bead_cau_Y","Hypaxial_bead_cau_Z","Hypaxial_bead_cra_X","Hypaxial_bead_cra_Y","Hypaxial_bead_cra_Z","Hypaxial_bead_mid1_X","Hypaxial_bead_mid1_Y","Hypaxial_bead_mid1_Z","Hypaxial_bead_mid2_X","Hypaxial_bead_mid2_Y","Hypaxial_bead_mid2_Z","LowerJawL_bead_cau_X","LowerJawL_bead_cau_Y","LowerJawL_bead_cau_Z","LowerJawL_bead_cra_X","LowerJawL_bead_cra_Y","LowerJawL_bead_cra_Z","LowerJawL_bead_mid_X","LowerJawL_bead_mid_Y","LowerJawL_bead_mid_Z","Neurocranium_bead_cau_e1_X","Neurocranium_bead_cau_e1_Y","Neurocranium_bead_cau_e1_Z","Neurocranium_bead_cau_e2_X","Neurocranium_bead_cau_e2_Y","Neurocranium_bead_cau_e2_Z","Neurocranium_bead_cau_X","Neurocranium_bead_cau_Y","Neurocranium_bead_cau_Z","Neurocranium_bead_cra_L_X","Neurocranium_bead_cra_L_Y","Neurocranium_bead_cra_L_Z","Neurocranium_bead_cra_R_X","Neurocranium_bead_cra_R_Y","Neurocranium_bead_cra_R_Z","Neurocranium_bead_mid_X","Neurocranium_bead_mid_Y","Neurocranium_bead_mid_Z","OperculumL_bead_cau_dor_X","OperculumL_bead_cau_dor_Y","OperculumL_bead_cau_dor_Z","OperculumL_bead_cra_dor_X","OperculumL_bead_cra_dor_Y","OperculumL_bead_cra_dor_Z","OperculumL_bead_ven_X","OperculumL_bead_ven_Y","OperculumL_bead_ven_Z","PectoralGirdleL_bead_cau_X","PectoralGirdleL_bead_cau_Y","PectoralGirdleL_bead_cau_Z","PectoralGirdleL_bead_cra_X","PectoralGirdleL_bead_cra_Y","PectoralGirdleL_bead_cra_Z","PectoralGirdleL_bead_mid_X","PectoralGirdleL_bead_mid_Y","PectoralGirdleL_bead_mid_Z","PostTemporalL_bead_cau_dor_X","PostTemporalL_bead_cau_dor_Y","PostTemporalL_bead_cau_dor_Z","PostTemporalL_bead_cra_dor_X","PostTemporalL_bead_cra_dor_Y","PostTemporalL_bead_cra_dor_Z","PostTemporalL_bead_ven_X","PostTemporalL_bead_ven_Y","PostTemporalL_bead_ven_Z","Prey_bead_X","Prey_bead_Y","Prey_bead_Z","Sternohyoid_bead_cau_X","Sternohyoid_bead_cau_Y","Sternohyoid_bead_cau_Z","Sternohyoid_bead_cra_X","Sternohyoid_bead_cra_Y","Sternohyoid_bead_cra_Z","SuspensoriumL_bead_dor_X","SuspensoriumL_bead_dor_Y","SuspensoriumL_bead_dor_Z","SuspensoriumL_bead_mid_X","SuspensoriumL_bead_mid_Y","SuspensoriumL_bead_mid_Z","SuspensoriumL_bead_ven_X","SuspensoriumL_bead_ven_Y","SuspensoriumL_bead_ven_Z","Urohyal_bead_X","Urohyal_bead_Y","Urohyal_bead_Z","calibration","frame","individual","time","trial"
-14.6555020189221,94.7429105999629,116.370451663005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.8830137405279,101.29570336553,82.6836158913681,45.1197978905168,94.6955819747043,79.4227672331409,NA,NA,NA,-6.81029868438221,96.9253581532931,71.1536869089092,NA,NA,NA,NA,NA,NA,48.3189534307456,106.76436567504,80.1059385156754,67.3414876511282,97.0872947043212,83.2126375320304,57.8939008098386,103.098483056021,86.1240659038726,-1.56358646336553,83.4232712967532,120.585923783109,-9.62513469101321,88.4288399810174,121.31151592013,0.727811131233157,87.5341810161963,120.167658782601,49.1000481225032,95.2573378644374,107.298905148381,57.365675760541,66.7461390799337,103.59497338166,34.8172795699693,83.5641726228597,113.638608705087,12.9170326702132,111.705985985192,96.5986671342816,18.021282643562,111.329076172114,98.7415772355377,22.6028925029403,114.480661981395,85.577428810468,-12.25839213287,111.028880937924,86.2316592265126,18.2051961685382,108.618773078342,77.3691738167323,4.2916731033212,112.708558236719,85.1291424475602,3.89463847941416,108.677013580816,104.282819659441,5.55572238366324,108.801666360503,103.412409245428,0.49808282998341,109.606431386504,98.756088226075,154.776973363361,66.6712643989545,28.8329994035386,40.2808570385892,90.2886760384285,78.1380817050953,49.5267414807193,86.9400739274481,83.0494668078944,22.2132697571831,110.247174167131,100.431379456096,30.0223151998036,111.891324553978,89.1660863476158,35.6799270810787,112.75891818646,82.5168516042028,49.0792802975846,83.2048482567598,81.7972022919556,"Nov17 After 0945",3,"Cat 01",0.006666667,"Nov 17 2016 Cat 01 Trial 09"
-14.6212882951509,94.7502521528823,116.38426336506,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.9372382499988,101.296786678256,82.7232008736053,45.1661825456422,94.7032369331663,79.46028921227,NA,NA,NA,-6.75884644559089,96.9766526073223,71.1758896302088,NA,NA,NA,NA,NA,NA,48.3719111989143,106.770985147157,80.1488104423491,67.3890888121041,97.0676415624577,83.290719443786,57.9429479688375,103.082121242052,86.162320098189,-1.52894531950157,83.4125553202812,120.58290477483,-9.58589600830197,88.4307091805765,121.316409257183,0.763836190415177,87.521434586543,120.178192159954,49.1419358942464,95.2324482074702,107.328907096006,57.3845533450765,66.7197282415694,103.589711664027,34.8461619244871,83.5462087485517,113.650554278801,12.9718454213616,111.715987458507,96.6351588333247,18.0795692571352,111.334136432464,98.7818579212277,22.6632299641922,114.473540836988,85.6268443023247,-12.2011450644365,111.061282353366,86.2657746412389,18.2644437029047,108.650824912907,77.4084684419936,4.34980442964082,112.735979727602,85.1688851642393,3.95134575437558,108.68756677435,104.318903400681,5.64379778369313,108.805104734099,103.439680543848,0.553339406458159,109.625138323148,98.7897611146065,154.770355131005,66.6778171729708,28.8372723818949,40.3250299783609,90.3105058583632,78.1615037322289,49.5683427704163,86.9395935331371,83.067882042026,22.2691325498248,110.251018934983,100.473967271425,30.0802934699422,111.895134562945,89.2065191382018,35.7366451370406,112.752459118869,82.5633305071877,49.0959655089025,83.2014096006687,81.8141525041786,"Nov17 After 0945",4,"Cat 01",0.01,"Nov 17 2016 Cat 01 Trial 09"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.9909888261001,101.297001109511,82.7627196313156,45.2121848924683,94.709797594449,79.4977170307712,NA,NA,NA,-6.70767386757089,97.027443464541,71.1979991266928,NA,NA,NA,NA,NA,NA,48.4248096287375,106.775952930788,80.1917692328845,67.43631193858,97.0471470320108,83.3566771715619,57.9917511126392,103.065020814544,86.2011630448602,-1.49545415549617,83.402469190091,120.580772588829,-9.5477991721426,88.4327269907779,121.321689048456,0.798833178362722,87.509597412288,120.188982413185,49.1831003496285,95.2067358107257,107.359434014811,57.4028464635428,66.6924326311595,103.586072363012,34.8744433053868,83.5276449874937,113.663172140676,13.0264154188121,111.725644794824,96.6714682519816,18.1371804364332,111.338771314675,98.8220000319281,22.7232874672001,114.471359558515,85.6757010489583,-12.1442475373763,111.093619054503,86.2994137759047,18.3234088751812,108.681839506348,77.4476130814687,4.40765201021172,112.762864102889,85.2083166077513,4.00713683303708,108.697826791219,104.354627808171,5.72392618047449,108.808498569935,103.468503326523,0.60800162423062,109.643296226378,98.8231610400848,154.764202971945,66.6839239490963,28.8411691960272,40.3688649831954,90.3307940581267,78.1856180505956,49.6094171158346,86.9379094535183,83.0871536564338,22.3244704320438,110.254278742022,100.516426192674,30.137912136532,111.898598759398,89.2470268888852,35.7932969338434,112.746261195939,82.6098521070122,49.1134870002623,83.1972557202164,81.8321247449079,"Nov17 After 0945",5,"Cat 01",0.013333333,"Nov 17 2016 Cat 01 Trial 09"
-14.5543392887476,94.7655459295891,116.411392766811,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.0442532576307,101.296365437873,82.8021038507961,45.2577825319686,94.7152961843371,79.5350783221491,NA,NA,NA,-6.6567937770886,97.0777582780275,71.2200957795854,NA,NA,NA,NA,NA,NA,48.4776412087834,106.779073084293,80.2348146158275,67.4831497890142,97.0257927666851,83.4108579097682,58.0402957726126,103.04688311164,86.2406161721431,-1.46313351264941,83.3929038599634,120.579571706199,-9.51086311180256,88.4348628234682,121.327432652606,0.832784802381218,87.4986777700321,120.200052259267,49.2235266885722,95.1801453211513,107.390494128206,57.4205549189431,66.6641081774562,103.584005152556,34.9021157231759,83.5081663125666,113.676466455942,13.0807399727665,111.734983817653,96.7075483296136,18.1940945935317,111.34299295605,98.8620469849109,22.7830530167116,114.47522009482,85.7239933377708,-12.0877181188822,111.125875379142,86.332628136688,18.3820741765756,108.711831092554,77.4866772848652,4.46519554619127,112.789204927548,85.247474424473,4.06198266132096,108.707793114451,104.389985622511,5.79629738071584,108.811665569082,103.498910906057,0.662048194209009,109.660799842791,98.8562958064588,154.758536369212,66.6895707679243,28.8446748993481,40.4123508960303,90.3495746602904,78.2104718299558,49.6499544388437,86.9350041734146,83.1072684544833,22.3792778126301,110.256970549025,100.558866456763,30.1951565584673,111.901736307685,89.287608132174,35.8498728159184,112.740341059365,82.6565399178613,49.1319034216371,83.1924951261215,81.8513529658717,"Nov17 After 0945",6,"Cat 01",0.016666667,"Nov 17 2016 Cat 01 Trial 09"
-14.5216293529177,94.7734825380066,116.424710932693,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.0970193333895,101.29489844192,82.8413822829416,45.3029530651169,94.7197649286151,79.5724007199087,NA,NA,NA,-6.60621900091046,97.1276246008601,71.2421403121634,NA,NA,NA,NA,NA,NA,48.5303984276205,106.780445005444,80.277946319724,67.5295951218651,97.0035604201857,83.4523777085885,58.0885674801263,103.027702669204,86.2807009082949,-1.43200393226141,83.3838607927813,120.579346608036,-9.47510675654929,88.4371421240272,121.333717428294,0.865673769776092,87.4886839363763,120.211424415172,49.2632001110001,95.1526213856943,107.422095659599,57.4376785142807,66.6347450533519,103.583459706601,34.9291711883621,83.4877459512703,113.690441389827,13.1348163934266,111.744030350506,96.7433520055816,18.2502901405063,111.346813493889,98.9020421974484,22.8425146174744,114.48421035521,85.771715456164,-12.0315753761467,111.158035665089,86.3654692297667,18.4404220982955,108.740813905408,77.5257306018908,4.52241473873684,112.814995766547,85.2863962607812,4.1158541851495,108.717465227075,104.4249695843,5.86319545660974,108.814585339685,103.531034474421,0.715457827301542,109.677650261915,98.8891732176772,154.75337480584,66.6947436700483,28.8477745452703,40.455476559803,90.3668121702141,78.2360659897308,49.689944661313,86.9308601776489,83.1282132395403,22.4335491003738,110.25911131677,100.601398300613,30.2520120946426,111.904566372155,89.3282614005765,35.9063631276968,112.73471535084,82.7033664755401,49.1512734230002,83.1872363291025,81.8718605435128,"Nov17 After 0945",7,"Cat 01",0.02,"Nov 17 2016 Cat 01 Trial 09"
-14.4894460265372,94.7816018828869,116.437865052701,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.1492748421753,101.29261890023,82.8806322853051,45.3476740928869,94.7232360530677,79.6097118575547,NA,NA,NA,-6.55596236580286,97.1770699861172,71.2640249153848,NA,NA,NA,NA,NA,NA,48.5830737738171,106.7803387428,80.3211640731201,67.5756406955911,96.9804316462175,83.4673963771886,58.1365517665489,103.007729149626,86.3213902267089,-1.40208595563224,83.3754453657149,120.580141775434,-9.44054903565026,88.4396082384361,121.340562136161,0.897482787852771,87.4794618583858,120.223121597874,49.3021058168351,95.1241086513022,107.4542468324,57.4542170525591,66.6044630176451,103.584429323123,34.955601711453,83.4666262904674,113.705101107563,13.1886419909942,111.752752879229,96.77891534622,18.3057454894327,111.350245065495,98.9420290868126,22.9016602742359,114.498087603682,85.8188616915398,-11.9758378763624,111.190094884595,86.3979885613188,18.4984351315488,108.768802178798,77.5647328852618,4.57928928900579,112.840230184857,85.3251197630526,4.168722350445,108.726842612117,104.459572434138,5.9239558605709,108.817396252736,103.565258517523,0.768209234416435,109.693932611537,98.9218010776889,154.748737764858,66.6994286960618,28.8504531872063,40.498230817451,90.3824553210957,78.2623535410723,49.7293777051118,86.9254599510443,83.1499984829905,22.4872787040649,110.260718006033,100.644074067664,30.3084641039522,111.907108117157,89.3689852266008,35.9627582136101,112.729380486869,82.7502065499802,49.1716556543246,83.1814937403785,81.8934862209995,"Nov17 After 0945",8,"Cat 01",0.023333333,"Nov 17 2016 Cat 01 Trial 09"
-14.4578019830071,94.7898961565452,116.450855359929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.2010075727872,101.289543738851,82.9198584541702,45.3919232162522,94.7257284211476,79.6470412474573,NA,NA,NA,-6.50603669853223,97.2261219868771,71.2857271719956,NA,NA,NA,NA,NA,NA,48.6356597359417,106.778814330895,80.3644588649656,67.6212792686506,96.9564156004988,83.4821089442843,58.1842341632493,102.987046580837,86.3626414630267,-1.37340012406202,83.3677044039753,120.582029145602,-9.4072088783729,88.4422574294431,121.347886826869,0.928194563916682,87.4710129434855,120.235166524345,49.340229006,95.0946495738564,107.486955870016,57.4701703367814,66.573312377947,103.586971955571,34.9813993029561,83.4448960420832,113.720458720439,13.242214075671,111.761101192229,96.814334001268,18.3604390523864,111.353299808169,98.9820218632129,22.9604779917438,114.51370294456,85.8654263312999,-11.9205241867221,111.222068741655,86.4301721435081,18.5560957675431,108.795861621523,77.6035568730002,4.6357988981555,112.8649035566,85.3636825776642,4.22055810312975,108.735924752607,104.493765066384,5.97434546964107,108.820154153564,103.601435040527,0.820281126461904,109.709667695643,98.9541871904426,154.744644729298,66.7036206712081,28.8526958785689,40.5406025119119,90.3965144772629,78.2893097913356,49.7682434921098,86.9187655507989,83.1726504222165,22.5404610324934,110.261807577593,100.686772357625,30.3644979452905,111.909410137402,89.40978005546,36.0190484180895,112.724318934034,82.7970370065561,49.1930730364168,83.1751490341867,81.9161870001491,"Nov17 After 0945",9,"Cat 01",0.026666667,"Nov 17 2016 Cat 01 Trial 09"
-14.4267098957285,94.7983575512963,116.463682087469,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.2522053140239,101.285640694078,82.9590653858208,45.435706608812,94.727200707866,79.6843547991612,NA,NA,NA,-6.45645482586499,97.2748936861204,71.3072246647423,NA,NA,NA,NA,NA,NA,48.6881488025626,106.775931804264,80.4078273869093,67.666503599502,96.9315523703631,83.5075442956327,58.231600201596,102.965738990769,86.4044525888778,-1.34596697885082,83.360684732774,120.584966093275,-9.37510521398468,88.4450859597965,121.355620794114,0.957791805273253,87.463578658816,120.247567745179,49.3775548784173,95.0643786329897,107.520231064319,57.4855381699509,66.5413434418691,103.591134261104,35.0065559733791,83.4226439180426,113.736510951523,13.2955299576589,111.769073066856,96.8496502851937,18.4143492414431,111.355982177369,99.021952567692,23.0189557747457,114.519567577713,85.9114036628464,-11.8656528744182,111.253972671691,86.4619218282556,18.6134057745409,108.821980610002,77.6421414427727,4.69192326734334,112.88902373156,85.4021152625961,4.27133238912604,108.744711131572,104.527542687791,6.01204563513572,108.822914887502,103.6389148124,0.871652214346166,109.724876318221,98.9863654451683,154.741090942707,66.7073390876326,28.8544876727705,40.5825804861231,90.4090000030438,78.3169100478765,49.8065319441762,86.9107800131962,83.1961795095792,22.5930904944495,110.262367904353,100.729342791824,30.420098977552,111.911470281831,89.4506485266055,36.0752240855662,112.719526409151,82.8438347106422,49.2154418713718,83.168111615773,81.9399198827783,"Nov17 After 0945",10,"Cat 01",0.03,"Nov 17 2016 Cat 01 Trial 09"
-14.3961824381026,94.8069782594556,116.476345468414,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.3028606213848,101.280854759858,82.9982125149339,45.4790822931124,94.7275948563455,79.7215847419323,NA,NA,NA,-6.40724732821641,97.3233843692084,71.328603671034,NA,NA,NA,NA,NA,NA,48.7405240027797,106.771517348287,80.4512779215454,67.7112984174047,96.9058700069372,83.5408382966335,58.2786272375734,102.943640729338,86.4468215758918,-1.31982239861708,83.3542894609592,120.588825255844,-9.3442752399714,88.4480367162499,121.363693331591,0.986232939435861,87.4574004715178,120.260278895677,49.4140478515224,95.0333785112762,107.554057555782,57.5003228838186,66.5084650462364,103.596962896879,35.0310642025964,83.3996697144941,113.753237383707,13.3485696554444,111.776666280458,96.8849065124653,18.4674213502811,111.358265432414,99.0617413637722,23.0770729870609,114.522917789286,85.9568037031619,-11.8112620106749,111.285822110124,86.4931628813753,18.6704056791523,108.847057379554,77.6804254722458,4.74762817383011,112.912602988191,85.4403546525516,4.32095449693493,108.753187833759,104.56093450755,6.04042322788182,108.825578653583,103.676634333789,0.922282322192868,109.739438939255,99.0183414278831,154.738030187345,66.7106069862822,28.8558208717994,40.6241449522212,90.4199545043639,78.3451659989105,49.8442186507165,86.9015472916876,83.2205961974394,22.6451451496152,110.262355009477,100.771634991591,30.4752370046531,111.913231596133,89.4915924639026,36.1312813957603,112.714998629033,82.8907442617957,49.2386608810952,83.1602908903835,81.9650070039595,"Nov17 After 0945",11,"Cat 01",0.033333333,"Nov 17 2016 Cat 01 Trial 09"
-14.3661871862155,94.8157673341279,116.488847838537,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.3530030094516,101.275130930135,83.0372904372012,45.5221056435474,94.7268528097085,79.7586633050366,NA,NA,NA,-6.35839540241399,97.3714508927909,71.3499205976772,NA,NA,NA,NA,NA,NA,48.7927953239864,106.765449921313,80.494818751468,67.7556745657873,96.8793965613483,83.5834779280358,58.3253430048634,102.920688733702,86.4898068723321,-1.29492971272805,83.348484947915,120.593479270698,-9.31468735282668,88.4511057768377,121.372033732994,1.01354168939826,87.4526913959219,120.273240319873,49.4497284165389,95.00173189129,107.588408840718,57.5145251386159,66.4746348623149,103.604337283441,35.0549426931566,83.3758951923419,113.770617599885,13.4013289757026,111.783878610385,96.920051707084,18.5196835550628,111.3601149164,99.1013084149756,23.1348507803388,114.528076049681,86.0016507903879,-11.7573221046997,111.317632492376,86.5238205686811,18.7271361101072,108.870990165494,77.7183478390861,4.8029505661027,112.935653604952,85.4782978089915,4.36945158504166,108.761347497602,104.593969734854,6.06377340418835,108.828099521308,103.71597251749,0.972207510254948,109.753331536875,99.0500804877163,154.735419754311,66.7134474081035,28.8567341330864,40.6653172736744,90.4293927990704,78.3740989233996,49.8813187886425,86.8911113397244,83.245910938158,22.696626863343,110.261738079129,100.813819611447,30.529934543012,111.914637125999,89.5326136912169,36.187245853027,112.710731310494,82.9377956375968,49.2626287874929,83.151596263264,81.9915208903832,"Nov17 After 0945",12,"Cat 01",0.036666667,"Nov 17 2016 Cat 01 Trial 09"
