Date,State,Positive,Negative,Pending,Hospitalized,Death,Total
20200322,AK,22,946,,0,,968
20200322,AL,138,"1,464",,,0,"1,602"
20200322,AR,165,711,119,13,0,995
20200322,AS,,,,,0,0
20200322,AZ,152,282,87,,2,521
20200322,CA,"1,536","11,304",,,27,"12,840"
20200322,CO,475,"4,075",,49,5,"4,550"
20200322,CT,223,"2,877",,43,5,"3,100"
20200322,DC,98,957,,,1,"1,055"
20200322,DE,56,36,,,0,92
20200322,FL,830,"7,990",963,185,13,"9,783"
20200322,GA,600,"3,420",,,23,"4,020"
20200322,GU,27,126,,,1,153
20200322,HI,48,263,,,,311
20200322,IA,90,"1,215",,,,"1,305"
20200322,ID,42,"1,175",,,0,"1,217"
20200322,IL,"1,058","7,271",,,9,"8,329"
20200322,IN,201,"1,293",,1,6,"1,494"
20200322,KS,64,417,,,2,481
20200322,KY,99,"1,472",,,3,"1,571"
20200322,LA,837,"2,661",,,20,"3,498"
20200322,MA,525,"4,752",,61,1,"5,277"
20200322,MD,244,94,,,3,338
20200322,ME,89,"2,264",,,,"2,353"
20200322,MI,"1,035","2,069",,,8,"3,104"
20200322,MN,169,"4,511",,12,1,"4,680"
20200322,MO,90,369,,,3,459
20200322,MP,0,,,,0,0
20200322,MS,207,"1,114",,33,1,"1,321"
20200322,MT,31,"1,146",,,,"1,177"
20200322,NC,255,"6,183",,,0,"6,438"
20200322,ND,28,"1,260",,3,0,"1,288"
20200322,NE,48,356,,,0,404
20200322,NH,65,"1,188",959,,,"2,212"
20200322,NJ,"1,914",327,49,,20,"2,290"
20200322,NM,57,"4,722",,,,"4,779"
20200322,NV,190,"2,448",,,2,"2,638"
20200322,NY,"15,168","46,233",,"1,974",114,"61,401"
20200322,OH,351,140,,83,3,491
20200322,OK,67,669,102,11,2,838
20200322,OR,161,"2,864",,43,4,"3,025"
20200322,PA,479,"4,964",,,2,"5,443"
20200322,PR,23,183,69,,,275
20200322,RI,83,932,216,,,"1,231"
20200322,SC,195,"1,466",,,3,"1,661"
20200322,SD,21,740,277,,1,"1,038"
20200322,TN,505,"3,272",,,,"3,777"
20200322,TX,334,"8,422",,,5,"8,756"
20200322,UT,181,"3,508",,,1,"3,689"
20200322,VA,219,"3,118",,32,3,"3,337"
20200322,VI,6,0,,,0,6
20200322,VT,52,"1,106",,,2,"1,158"
20200322,WA,"1,793","25,328",,,94,"27,121"
20200322,WI,385,"6,230",,,4,"6,615"
20200322,WV,12,385,1,1,0,398
20200322,WY,24,438,,,,462
20200321,AK,14,758,,0,,772
20200321,AL,124,28,,,0,152
20200321,AR,118,567,154,,,839
20200321,AS,,,,,0,0
20200321,AZ,104,240,122,,1,466
20200321,CA,"1,279","11,249",,,24,"12,528"
20200321,CO,363,"3,317",,44,4,"3,680"
20200321,CT,194,"2,106",,,4,"2,300"
20200321,DC,77,506,0,,1,583
20200321,DE,45,36,,,0,81
20200321,FL,658,"6,579","1,002",158,12,"8,239"
20200321,GA,507,"2,557",,,14,"3,064"
20200321,GU,15,108,,,,123
20200321,HI,37,124,9,,,170
20200321,IA,68,"1,049",,,,"1,117"
20200321,ID,31,880,,,,911
20200321,IL,759,"5,488",,,6,"6,247"
20200321,IN,126,707,,1,4,833
20200321,KS,55,417,,,2,472
20200321,KY,54,714,,,2,768
20200321,LA,585,"2,180",,,16,"2,765"
20200321,MA,646,"5,482",,71,5,"6,128"
20200321,MD,190,94,,,2,284
20200321,ME,73,"2,264",,,,"2,337"
20200321,MI,787,"2,069",,,5,"2,856"
20200321,MN,138,"3,952",,,1,"4,090"
20200321,MO,73,369,,,3,442
20200321,MP,0,,,,0,0
20200321,MS,140,695,,,1,835
20200321,MT,20,"1,146",,,,"1,166"
20200321,NC,184,"5,092",,,0,"5,276"
20200321,ND,28,"1,141",,3,0,"1,169"
20200321,NE,38,356,,,0,394
20200321,NH,55,973,942,,,"1,970"
20200321,NJ,"1,327",294,40,,16,"1,661"
20200321,NM,57,"3,771",,,,"3,828"
20200321,NV,124,"2,384",,,2,"2,508"
20200321,NY,"10,356","35,081",,"1,603",44,"45,437"
20200321,OH,247,140,,58,3,387
20200321,OK,53,560,144,10,1,757
20200321,OR,114,"2,003",433,,3,"2,550"
20200321,PA,371,"3,766",,,2,"4,137"
20200321,PR,21,143,71,,,235
20200321,RI,66,862,290,,,"1,218"
20200321,SC,152,"1,255",,,1,"1,407"
20200321,SD,14,691,268,,1,973
20200321,TN,371,"3,272",,,,"3,643"
20200321,TX,304,"6,218",,,5,"6,522"
20200321,UT,136,"2,424",,,0,"2,560"
20200321,VA,152,"2,638",,25,2,"2,790"
20200321,VI,6,,,,0,6
20200321,VT,29,779,,,2,808
20200321,WA,"1,524","21,719",,,83,"23,243"
20200321,WI,281,"4,628",,,4,"4,909"
20200321,WV,11,330,2,1,0,343
20200321,WY,23,438,,,,461
20200320,AK,12,686,,,,698
20200320,AL,81,28,,,0,109
20200320,AR,96,351,203,,,650
20200320,AS,0,,,,0,0
20200320,AZ,65,211,101,,0,377
20200320,CA,"1,063","10,424",,,20,"11,487"
20200320,CO,277,"2,675",,,3,"2,952"
20200320,CT,194,604,,,3,798
20200320,DC,71,501,1,,1,573
20200320,DE,38,36,,,0,74
20200320,FL,520,"1,870","1,026",,10,"3,416"
20200320,GA,420,"1,966",,,13,"2,386"
20200320,GU,14,86,,,,100
20200320,HI,26,124,9,,,159
20200320,IA,45,642,,,,687
20200320,ID,23,590,,,,613
20200320,IL,590,"3,696",,,5,"4,286"
20200320,IN,79,475,,,2,554
20200320,KS,44,417,,,1,461
20200320,KY,47,592,,,1,639
20200320,LA,479,568,,,12,"1,047"
20200320,MA,413,"3,678",,,1,"4,091"
20200320,MD,149,94,,,1,243
20200320,ME,57,"2,264",,,,"2,321"
20200320,MI,549,"2,069",,,3,"2,618"
20200320,MN,115,"3,741",,,,"3,856"
20200320,MO,47,369,,,1,416
20200320,MP,0,,,,0,0
20200320,MS,80,695,,,1,775
20200320,MT,16,931,,,,947
20200320,NC,137,"3,096",,,0,"3,233"
20200320,ND,20,800,,,0,820
20200320,NE,32,240,,,0,272
20200320,NH,44,745,631,,,"1,420"
20200320,NJ,890,264,86,,11,"1,240"
20200320,NM,43,"3,771",,,,"3,814"
20200320,NV,109,"1,992",-3,,1,"2,098"
20200320,NY,"7,102","25,325",,,35,"32,427"
20200320,OH,169,140,,,1,309
20200320,OK,49,538,374,,1,961
20200320,OR,114,"2,003",433,,3,"2,550"
20200320,PA,268,"2,574",,,1,"2,842"
20200320,PR,14,114,52,,,180
20200320,RI,54,654,140,,,848
20200320,SC,81,833,,,1,914
20200320,SD,14,663,270,,1,947
20200320,TN,228,563,,,,791
20200320,TX,194,"5,083",,,5,"5,277"
20200320,UT,112,"2,035",,,0,"2,147"
20200320,VA,114,"2,211",,,2,"2,325"
20200320,VI,3,,,,0,3
20200320,VT,29,779,,,2,808
20200320,WA,"1,376","19,336",,,74,"20,712"
20200320,WI,206,"3,455",,,3,"3,661"
20200320,WV,7,219,13,,0,239
20200320,WY,19,331,,,,350
20200319,AK,6,400,,,,406
20200319,AL,68,28,,,0,96
20200319,AR,46,310,113,,,469
20200319,AS,0,,,,0,0
20200319,AZ,44,175,130,,0,349
20200319,CA,924,"8,787",,,18,"9,711"
20200319,CO,216,"2,112",,,2,"2,328"
20200319,CT,96,604,,,1,700
20200319,DC,39,153,11,,0,203
20200319,DE,30,36,,,0,66
20200319,FL,390,"1,533","1,019",,8,"2,942"
20200319,GA,287,"1,544",,,10,"1,831"
20200319,GU,12,69,,,,81
20200319,HI,16,93,9,,,118
20200319,IA,38,83,,,,121
20200319,ID,11,457,,,,468
20200319,IL,426,"2,725",,,4,"3,151"
20200319,IN,56,324,,,2,380
20200319,KS,34,417,,,1,451
20200319,KY,35,454,,,1,489
20200319,LA,347,458,,,8,805
20200319,MA,328,"2,804",,,,"3,132"
20200319,MD,107,94,,,1,201
20200319,ME,53,"2,004",,,,"2,057"
20200319,MI,336,"2,113",,,3,"2,449"
20200319,MN,89,"2,949",,,,"3,038"
20200319,MO,24,308,,,1,332
20200319,MP,0,,,,0,0
20200319,MS,50,552,,,,602
20200319,MT,12,761,0,,,773
20200319,NC,97,"2,408",,,0,"2,505"
20200319,ND,15,493,,,0,508
20200319,NE,27,240,,,0,267
20200319,NH,39,621,231,,,891
20200319,NJ,742,210,74,,9,"1,026"
20200319,NM,35,"2,762",,,,"2,797"
20200319,NV,95,"1,626",,,1,"1,721"
20200319,NY,"4,152","18,132",,,12,"22,284"
20200319,OH,119,140,,,,259
20200319,OK,44,466,250,,1,760
20200319,OR,88,"1,329",437,,3,"1,854"
20200319,PA,185,"1,608",,,1,"1,793"
20200319,PR,5,56,29,,,90
20200319,RI,33,540,334,,,907
20200319,SC,60,583,,,1,643
20200319,SD,11,551,385,,1,947
20200319,TN,154,349,,,,503
20200319,TX,143,"2,212",,,3,"2,355"
20200319,UT,78,"1,448",,,0,"1,526"
20200319,VA,94,"1,829",,,2,"1,923"
20200319,VI,3,,,,0,3
20200319,VT,22,645,,,,667
20200319,WA,"1,187","15,918",,,66,"17,105"
20200319,WI,155,"2,192",,,,"2,347"
20200319,WV,2,143,3,,0,148
20200319,WY,18,271,,,,289
20200318,AK,6,406,,,,412
20200318,AL,46,28,,,0,74
20200318,AR,33,236,50,,,319
20200318,AZ,28,148,102,,0,278
20200318,CA,611,"7,981",,,13,"8,592"
20200318,CO,183,"1,617",,,2,"1,800"
20200318,CT,68,125,,,,193
20200318,DC,31,138,1,,,170
20200318,DE,25,36,,,,61
20200318,FL,314,"1,225",954,,7,"2,493"
20200318,GA,197,"1,311",,,1,"1,508"
20200318,HI,14,93,12,,,119
20200318,IA,29,83,,,,112
20200318,ID,9,459,,,,468
20200318,IL,289,"1,763",,,1,"2,052"
20200318,IN,39,154,,,2,193
20200318,KS,16,417,,,1,433
20200318,KY,26,354,,,1,380
20200318,LA,240,335,,,6,575
20200318,MA,256,"2,015",,,,"2,271"
20200318,MD,85,94,,,,179
20200318,ME,43,"1,670",,,,"1,713"
20200318,MI,80,272,,,,352
20200318,MN,77,"2,685",,,,"2,762"
20200318,MO,13,253,,,0,266
20200318,MS,34,479,,,,513
20200318,MT,10,499,0,,,509
20200318,NC,63,"1,787",,,0,"1,850"
20200318,ND,6,268,,,0,274
20200318,NE,24,206,,,,230
20200318,NH,26,513,208,,,747
20200318,NJ,427,190,21,,5,638
20200318,NM,28,"2,326",,,,"2,354"
20200318,NV,55,168,,,1,223
20200318,NY,"2,382","12,215",,,12,"14,597"
20200318,OH,88,140,,,,228
20200318,OK,29,378,110,,,517
20200318,OR,75,"1,118",361,,3,"1,554"
20200318,PA,133,"1,187",,,,"1,320"
20200318,RI,33,540,334,,,907
20200318,SC,60,583,,,1,643
20200318,SD,11,551,350,,1,913
20200318,TN,98,349,,,,447
20200318,TX,83,"1,824",,,2,"1,907"
20200318,UT,63,131,,,0,194
20200318,VA,77,"1,201",,,1,"1,278"
20200318,VT,19,592,,,,611
20200318,WA,"1,012","13,117",,,52,"14,129"
20200318,WI,106,"1,577",,,,"1,683"
20200318,WV,1,122,14,,0,137
20200318,WY,15,178,,,,193
20200318,PR,5,31,21,,,57
20200318,VI,2,,,,0,2
20200318,GU,8,57,,,,65
20200318,MP,0,,,,0,0
20200318,AS,0,,,,0,0
20200317,AK,3,334,,,,337
20200317,AL,36,28,,,0,64
20200317,AR,22,197,41,,,260
20200317,AZ,20,142,66,,0,228
20200317,CA,483,"7,981",,,11,"8,407"
20200317,CO,160,"1,056",,,1,"1,216"
20200317,CT,41,125,,,,166
20200317,DC,22,104,0,,,126
20200317,DE,16,36,,,,52
20200317,FL,186,940,872,,6,"1,998"
20200317,GA,146,,,,1,146
20200317,HI,10,,,,,10
20200317,IA,23,83,,,,106
20200317,ID,7,346,,,,353
20200317,IL,160,"1,340",,,1,"1,500"
20200317,IN,30,129,,,2,159
20200317,KS,15,382,,,1,397
20200317,KY,22,295,,,1,317
20200317,LA,171,286,,,4,457
20200317,MA,218,"1,541",,,,"1,759"
20200317,MD,57,94,,,,151
20200317,ME,32,"1,303",,,,"1,335"
20200317,MI,65,272,,,,337
20200317,MN,60,"2,276",,,,"2,336"
20200317,MO,8,207,,,0,215
20200317,MS,21,368,,,,389
20200317,MT,8,303,0,,,311
20200317,NC,40,474,,,0,514
20200317,ND,3,220,0,,0,223
20200317,NE,21,206,,,,227
20200317,NH,17,355,195,,,567
20200317,NJ,267,163,55,,3,485
20200317,NM,23,"1,249",,,,"1,272"
20200317,NV,55,168,,,1,223
20200317,NY,"1,700","5,506",,,7,"7,206"
20200317,OH,67,140,,,,207
20200317,OK,17,247,82,,,346
20200317,OR,47,689,184,,,920
20200317,PA,96,879,,,,975
20200317,RI,21,308,149,,,478
20200317,SC,33,311,,,1,344
20200317,SD,11,551,35,,,597
20200317,TN,73,330,,,,403
20200317,TX,64,"1,204",,,1,"1,268"
20200317,UT,51,131,,,0,182
20200317,VA,67,961,,,1,"1,028"
20200317,VT,10,495,,,,505
20200317,WA,904,"11,582",,,48,"12,486"
20200317,WI,72,"1,038",,,,"1,110"
20200317,WV,0,80,4,,0,84
20200317,WY,10,95,,,,105
20200317,PR,5,13,4,,,22
20200317,VI,2,,,,,2
20200317,GU,5,41,,,,46
20200317,MP,0,,,,,0
20200317,AS,0,,,,,0
20200316,AK,1,143,,,,144
20200316,AL,28,28,40,,0,96
20200316,AR,22,132,14,,,168
20200316,AZ,18,125,63,,0,206
20200316,CA,335,"7,981",,,6,"8,316"
20200316,CO,131,627,,,1,758
20200316,CT,26,125,,,,151
20200316,DC,17,96,7,,,120
20200316,DE,8,36,32,,,76
20200316,FL,141,684,514,,4,"1,339"
20200316,GA,121,,,,1,121
20200316,HI,7,,,,,7
20200316,IA,22,83,,,,105
20200316,ID,5,265,,,,270
20200316,IL,93,932,,,,"1,025"
20200316,IN,24,115,,,1,139
20200316,KS,11,166,,,1,177
20200316,KY,21,234,,,1,255
20200316,LA,114,188,,,2,302
20200316,MA,164,352,,,,516
20200316,MD,37,94,,,,131
20200316,ME,17,764,,,,781
20200316,MI,53,272,30,,,355
20200316,MN,54,"1,839",,,,"1,893"
20200316,MO,6,164,,,0,170
20200316,MS,12,277,,,,289
20200316,MT,7,198,0,,,205
20200316,NC,33,296,151,,0,480
20200316,ND,1,123,0,,0,124
20200316,NE,18,170,,,,188
20200316,NH,13,271,95,,,379
20200316,NJ,178,120,20,,2,218
20200316,NM,17,566,,,,583
20200316,NV,45,168,,,1,213
20200316,NY,950,"4,543",,,7,"5,493"
20200316,OH,50,140,361,,,551
20200316,OK,10,174,29,,,213
20200316,OR,39,579,182,,,800
20200316,PA,76,670,,,,746
